word;pos
τήθη;noun
θῦμα;noun
κλέπτης;noun
σωτήρ;noun
ῥήτωρ;noun
μεθυστής;noun
σώρευμα;noun
κυκλάζω;verb
ψευδολογία;noun
δολερῶς;adv
βόειος;adj
μεσημβρινός;adj
ἑλληνικός;adj
ἀστέριος;adj
μέλπω;verb
θηριώδης;adj
μικτός ;adj
κατασπαράσσω;verb
κιρνάω;verb
ἐπιθυμητικῶς;adv
αρνητικός;adj
περαίτερος;adj
ἀρκτικός;adj
λιγύς;adj
κριτής ;noun
ἀποκινέω;verb
λευκαίνω;verb
ταλαντόομαι;verb
ἀκόντιον;noun
κοσκινεύω;verb
ὁμῶς;adv
ἀποδέρω;verb
εὐρωτιάω;verb
ἀκαμάτως;adv
ψευδῶς;adv
φιλικῶς;adv
ἑτέρως;adv
εὐαρμόστως;adv
εὐπετῶς;adv
ἐπιπόνως;adv
