word;pos
διάνοια;noun
φέρω;verb
κρίσις;noun
δείκνυμι;verb
κράτος;noun
δαίμων;noun
χάρις;noun
μέτριος;adj
φυλάσσω;verb
διακρίνω;verb
ἔργον;noun
ἐλλιπής;adj
εὔφορος;adj
πονηρός;adj
ἀνδρεῖος;adj
ἔκδικος;adj
μωρός;adj
ἀμαυρός;adj
δαψιλής;adj
συνίστημι;verb
χειροήθης;adj
δίχα;adv
χρεία;noun
περισσῶς;adv
πολλάκις;adv
κικλήσκω;verb
διαμπερές;adv
συντόμως;adv
μηκύνω;verb
ἔρις;noun
ἅμα;adv
καταβολή;noun
ἐφεξῆς;adv
ἀναγκάζω;verb
ἐλαφρῶς;adv
κοσμέω;verb
ἐξετάζω;verb
πάντως;adv
πλῆθος;noun
εὐθύς;adv
