word;pos
idea;noun
hold;verb
order;noun
indicate;verb
strength;noun
god;noun
softness;noun
ordinary;adj
keep;verb
dissipate;verb
effort;noun
stingy;adj
fruitful;adj
noxious;adj
heroic;adj
evil;adj
stupid;adj
dark;adj
abundant;adj
build;verb
gentle;adj
otherwise;adv
want;noun
extravagantly;adv
often;adv
summon;verb
constantly;adv
shortly;adv
stretch;verb
fight;noun
jointly;adv
beginning;noun
subsequently;adv
make;verb
swiftly;adv
decorate;verb
prove;verb
altogether;adv
mass;noun
directly;adv
