word;synset;pos
τήθη;someone from whom you are descended (but usually more remote than a grandparent);noun
θῦμα;the act of killing (an animal or person) in order to propitiate a deity;noun
κλέπτης;a criminal who takes property belonging to someone else with the intention of keeping it or selling it;noun
σωτήρ;a person who rescues you from harm or danger;noun
ῥήτωρ;a person who delivers a speech or oration;noun
μεθυστής;a person who is devoted to eating and drinking to excess;noun
σώρευμα;a collection of objects laid on top of each other;noun
κυκλάζω;"extend on all sides of simultaneously; encircle";verb
ψευδολογία;a false statement;noun
δολερῶς;in a shrewd manner;adv
βόειος;of or relating to or belonging to the genus Bos (cattle);adj
μεσημβρινός;situated in or coming from regions of the south;adj
ἑλληνικός;of or relating to or characteristic of Greece or the Greeks or the Greek language;adj
ἀστέριος;abounding with or resembling stars;adj
μέλπω;produce tones with the voice;verb
θηριώδης;"resembling a beast; showing lack of human sensibility";adj
μικτός ;consisting of a haphazard assortment of different kinds;adj
κατασπαράσσω;cut or tear irregularly;verb
κιρνάω;join or combine;verb
ἐπιθυμητικῶς;in a greedy manner;adv
αρνητικός;expressing or consisting of a negation or refusal or denial;adj
περαίτερος;further or added;adj
ἀρκτικός;situated in or coming from regions of the north;adj
λιγύς;expressing yourself readily, clearly, effectively;adj
κριτής ;someone chosen to judge and decide a disputed issue;noun
ἀποκινέω;remove something concrete, as by lifting, pushing, or taking off, or remove something abstract;verb
λευκαίνω;become light;verb
ταλαντόομαι;move without being stable, as if threatening to fall;verb
ἀκόντιον;a spear thrown as a weapon or in competitive field events;noun
κοσκινεύω;separate by passing through a sieve or other straining device to separate out coarser elements;verb
ὁμῶς;in like or similar manner;adv
ἀποδέρω;strip the skin off;verb
εὐρωτιάω;"become putrid; decay with an offensive smell";verb
ἀκαμάτως;with indefatigable energy;adv
ψευδῶς;in a mendacious and untruthful manner;adv
φιλικῶς;with affection;adv
ἑτέρως;in another and different manner;adv
εὐαρμόστως;in accordance with what is appropriate or suitable for the circumstances;adv
εὐπετῶς;with ease (`easy' is sometimes used informally for `easily');adv
ἐπιπόνως;in a laborious manner;adv
