word;gold_synonyms;synset;pos;;;
διάνοια;"νοῦς;γνώμη;φρόντις;νόημα;νόμισμα;δόκημα;φρόνησις;νοούμενον;ἰδέα;ἔννοια;φαντασία";the content of cognition;noun;;;
φέρω;"ὑποφέρω;βοηθέω;φυλάττω;ὠφελέω;ἐπικουρέω;βαστάζω;ἐρείδω;στηρίζω;ἀναιρέω;ὑπομένω;ἔχω";be the physical support of;verb;;;
κρίσις;"διάγνωσις;δόγμα;βούλευμα";a legally binding command or decision entered on the court record (as if issued by a court or judge);noun;;;
δείκνυμι;"τεκμαίρω;ἀποδείκνυμι;λέγω;σημαίνω;ἐπαγγέλλω;ἐμφανίζω;μηνύω;καταμηνύω;δηλόω;φαίνω;ἀναφέρω";"indicate a place;direction;person;or thing";verb;;;
κράτος;"ῥώμη;ἰσχύς;δυνατός";the property of being physically or mentally strong;noun;;;
δαίμων;"θεός;θεῖος";any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force;noun;;;
χάρις;"κοσμιότης;εὐπρέπεια";acting in a manner that is gentle and mild and even-tempered;noun;;;
μέτριος;μέσος;not exceptional in any way especially in quality or ability or size or degree;adj;;;
φυλάσσω;"προστατέω;προίστημι;διατηρέω;ἐμφρουρέω;σῴζω;διασῴζω;διαφυλάσσω;φρουρέω;ἀμύνω;στέγω;τιμωρέω";"maintain in safety from injury;harm;or danger";verb;;;
διακρίνω;"διαφέρω;δαίω;διαιρέω;διασκεδάννυμι;σκεδάννυμι;διίστημι;νέμω;διασπάω;διασπείρω;διαδίδωμι;διακόπτω";to cause to separate and go in different directions;verb;;;
ἔργον;"πρᾶγμα;ἱδρώς;κάματος;κόπος;μόχθημα;πόνος;ἐργασία;σπουδή;ἐπιμέλεια;προαίρεσις;φιλοτιμία";use of physical or mental energy;noun;;;
ἐλλιπής;ἐνδεής;deficient in amount or quality or extent;adj;;;
εὔφορος;"εὐδαίμων;καρπόφορος;εὔκαρπος;εὔγειος";productive or conducive to producing in abundance;adj;;;
πονηρός;"κακόνους;ἐπιβλαβής;βλαβερός";injurious to physical or mental health;adj;;;
ἀνδρεῖος;θυμώδης;possessing or displaying courage;adj;;;
ἔκδικος;κακός;morally bad or wrong;adj;;;
μωρός;"ἀβέλτερος;ἀναίσθητος";lacking or marked by lack of intellectual acuity;adj;;;
ἀμαυρός;σκοτεινός;devoid of or deficient in light or brightness;adj;;;
δαψιλής;"εὔπορος;ἄφθονος";present in great quantity;adj;;;
συνίστημι;"συνδέω;μίγνυμι;κεράννυμι;συντίθημι;συνάπτω";put together out of artificial or natural components or parts;verb;;;
χειροήθης;"εὐδίδακτος;ἐπιεικής;πρᾶος";having or showing a kindly or tender nature;adj;;;
δίχα;ἀλλοίως;in another and different manner;adv;;;
χρεία;"ἔλλειψις;ἔνδεια;ἐρημία;σπάνις;ἀπορία;ἔκδεια;χρησμοσύνη;ἀνάγκη;γυμνότης";the state of needing something that is absent or unavailable;noun;;;
περισσῶς;"εὐρόπως;ἀδήν";in an abundant manner;adv;;;
πολλάκις;συχνῶς;many times at short intervals;adv;;;
κικλήσκω;"συλλέγω;συγκαλέω;ἐκκαλέω;καλέω;ἐπικαλέω;ἀνακαλέω";ask to come;verb;;;
διαμπερές;ἀκόπως;without interruption;adv;;;
συντόμως;βραχέως;in a concise manner;adv;;;
μηκύνω;"ἐκτείνω;πετάννυμι;διατείνω;πλατύνω;παρατείνω;τείνω;ἀνατείνω;προβαίνω";extend or stretch out to a greater or the full length;verb;;;
ἔρις;"ἄθλησις;δηιοτής;ἅμιλλα;νεῖκος;πάλαισμα;ἀγών;μάχη;πόλεμος;ἀλκή";a hostile meeting of opposing military forces in the course of a war;noun;;;
ἅμα;"ἁμαρτῆ;ὁμοῦ;κοινῇ";in conjunction with;adv;;;
καταβολή;"ἀρχή;ὑπαρχή;ἀφορμή";the first part or section of something;noun;;;
ἐφεξῆς;ἔπειτα;happening at a time subsequent to a reference time;adv;;;
ἀναγκάζω;"βιάζω;φέρω;ἐργάζομαι;ποιέω;προτρέπω;παροξύνω";cause to do;verb;;;
ἐλαφρῶς;ταχέως;with speed;adv;;;
κοσμέω;"ἐξασκέω;καλλύνω;καλλωπίζω;ζωγραφέω;γράφω";"make more attractive by adding ornament;colour;etc.";verb;;;
ἐξετάζω;"τιμάω;διατιμάω;ἀναπτύσσω;διαπτύσσω;ἀναπετάννυμι;βεβαιόω ";"establish the validity of something;as by an example;explanation or experiment";verb;;;
πάντως;"ὅλως;ἄρδην";to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly');adv;;;
πλῆθος;"πλεονεξία;εὐπορία;ἀφθονία;ἀριθμός;πλάτος;ἔκτασις;πολλότης";(often followed by `of') a large number or amount or extent;noun;;;
εὐθύς;"ταχέως; ἀόκνως; συνεχῶς; παραχρῆμα; παραυτίκα; αὐτίκα";without delay or hesitation;adv;;;
